"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","lostreason","Longitude","Address","Geocode Status","Latitude"
"VOD-to-live solution","54973ae1-f3e5-aeb9-69be-68f20153699a","SE0,00","'-99","02/27/2020","Closed Won","0","","","OTTera","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"VOD2Live","64a852d9-1783-9e05-6845-68f201630511","SE0,00","'-99","10/08/2020","Closed Lost","0","","","RTS","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Vod2Live","d7a4ef3a-e053-590a-a186-68f20155ef49","SE0,00","'-99","09/03/2020","Closed Lost","0","","","RiksTV AS","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Vod2Live Development","e1908ed1-72ea-d328-2389-68f201efdfcc","SE500000,00","'-99","02/14/2025","Closed Won","75","","","ITV","","SE500000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Vod2Live for News12","db830e6e-4908-4c63-12f6-68f201b98858","SE0,00","'-99","12/10/2020","Closed Lost","0","","","Cheddar","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"VoD2Live integration","a85cad98-3d3b-91fe-2467-68f20143948d","SE250000,00","'-99","10/03/2024","Closed Won","75","","","ITV","","SE250000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"VoD2Live to Cheddar","3c2b6793-bc22-dcc0-7f4b-68f201aa8721","SE0,00","'-99","07/02/2020","Closed Lost","0","","","Cheddar","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"VoD2Live with Nowtilus customer","d6bd03b8-b02b-7fff-8ce9-68f201812fa1","SE0,00","'-99","07/09/2020","Closed Lost","0","","","Nowtilus","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Web application development","f1109df8-3dc5-5d22-4996-68f201afe82b","SE280000,00","'-99","02/10/2022","Closed Lost","50","","","Nenda","","SE280000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Web page to NDI converter","9b4c7914-2d22-a4ae-4c18-68f2010b0ad8","SE700000,00","'-99","03/09/2023","Closed Lost","50","","","Letsplay.Live","","SE700000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
